,loan_status,annual_inc,verification_status,emp_length,home_ownership,int_rate,loan_amnt,purpose,term,grade
175,Charged Off,24000.0,Not Verified,< 1 year,RENT,17.27,7750,debt_consolidation,36,D
176,Charged Off,70000.0,Source Verified,6 years,RENT,20.89,20000,debt_consolidation,60,F
178,Charged Off,60000.0,Not Verified,3 years,RENT,11.71,21000,debt_consolidation,60,B
181,Charged Off,42000.0,Verified,10+ years,RENT,16.77,15000,debt_consolidation,36,D
182,Charged Off,75000.0,Source Verified,8 years,RENT,17.27,15000,debt_consolidation,36,D
187,Charged Off,58500.0,Source Verified,1 year,RENT,12.69,16000,debt_consolidation,36,B
194,Charged Off,70000.0,Not Verified,8 years,MORTGAGE,14.27,12000,other,36,C
202,Charged Off,86000.0,Not Verified,10+ years,MORTGAGE,12.42,13650,debt_consolidation,36,B
203,Charged Off,30000.0,Source Verified,3 years,RENT,16.29,10500,debt_consolidation,36,D
211,Charged Off,35000.0,Verified,10+ years,RENT,14.27,15075,debt_consolidation,36,C
219,Charged Off,52500.0,Source Verified,< 1 year,MORTGAGE,12.69,9500,moving,36,B
223,Charged Off,68000.0,Source Verified,3 years,RENT,7.9,7200,debt_consolidation,36,A
224,Charged Off,53000.0,Verified,10+ years,MORTGAGE,16.77,26000,home_improvement,60,D
225,Charged Off,69600.0,Verified,6 years,MORTGAGE,11.71,7000,credit_card,60,B
230,Charged Off,70000.0,Not Verified,2 years,RENT,12.69,10000,credit_card,36,B
238,Charged Off,50000.0,Source Verified,10+ years,RENT,12.69,15600,vacation,60,B
250,Charged Off,25000.0,Not Verified,2 years,RENT,12.69,4000,debt_consolidation,36,B
254,Charged Off,39000.0,Source Verified,10+ years,RENT,12.42,10000,credit_card,36,B
265,Charged Off,80000.0,Not Verified,7 years,RENT,8.9,12000,other,36,A
269,Charged Off,35000.0,Verified,10+ years,RENT,13.49,16000,small_business,60,C
272,Charged Off,25920.0,Source Verified,< 1 year,RENT,12.69,11875,debt_consolidation,60,B
277,Charged Off,45600.0,Not Verified,10+ years,OWN,7.9,14000,debt_consolidation,36,A
298,Charged Off,50000.0,Not Verified,5 years,RENT,16.29,8000,credit_card,36,D
299,Charged Off,70000.0,Source Verified,3 years,RENT,12.42,30000,small_business,60,B
300,Charged Off,40000.0,Not Verified,6 years,OWN,16.77,18000,home_improvement,60,D
303,Charged Off,59000.0,Verified,10+ years,OWN,20.3,20000,debt_consolidation,60,E
312,Charged Off,60000.0,Verified,3 years,RENT,19.91,9000,credit_card,60,E
313,Charged Off,61500.0,Verified,10+ years,RENT,18.64,25000,debt_consolidation,60,E
316,Charged Off,78216.0,Verified,10+ years,OWN,15.27,20000,debt_consolidation,60,C
317,Charged Off,62000.0,Verified,1 year,MORTGAGE,17.27,18000,debt_consolidation,60,D
322,Charged Off,30000.0,Source Verified,2 years,RENT,12.42,5000,debt_consolidation,36,B
326,Charged Off,55000.0,Not Verified,10+ years,RENT,9.91,12000,debt_consolidation,36,B
337,Charged Off,32000.0,Not Verified,5 years,RENT,11.71,10000,credit_card,36,B
338,Charged Off,116400.0,Verified,10+ years,MORTGAGE,8.9,24000,car,36,A
342,Charged Off,57200.0,Source Verified,10+ years,RENT,11.71,12000,debt_consolidation,36,B
346,Charged Off,35000.0,Source Verified,2 years,RENT,12.69,10000,debt_consolidation,36,B
354,Charged Off,35000.0,Not Verified,4 years,RENT,7.51,9750,debt_consolidation,36,A
359,Charged Off,53004.0,Source Verified,3 years,RENT,19.03,3000,other,60,E
360,Charged Off,60000.0,Verified,10+ years,RENT,19.42,25000,credit_card,60,E
363,Charged Off,35360.0,Verified,5 years,MORTGAGE,12.69,8875,debt_consolidation,36,B
374,Charged Off,32000.0,Source Verified,3 years,RENT,8.9,12000,debt_consolidation,36,A
378,Charged Off,30000.0,Verified,3 years,OWN,12.69,15000,debt_consolidation,60,B
379,Charged Off,36000.0,Source Verified,1 year,RENT,12.69,8050,debt_consolidation,36,B
386,Charged Off,30084.0,Verified,< 1 year,RENT,7.9,6000,debt_consolidation,60,A
409,Charged Off,17000.0,Source Verified,< 1 year,RENT,18.64,1500,other,36,E
411,Charged Off,75000.0,Verified,10+ years,RENT,14.65,20000,debt_consolidation,60,C
420,Charged Off,50000.0,Source Verified,9 years,RENT,14.27,8500,debt_consolidation,36,C
426,Charged Off,75000.0,Source Verified,2 years,MORTGAGE,13.49,33425,debt_consolidation,60,C
429,Charged Off,40000.0,Source Verified,< 1 year,RENT,11.71,18000,debt_consolidation,60,B
431,Charged Off,60000.0,Verified,10+ years,RENT,16.77,20000,debt_consolidation,60,D
453,Charged Off,51871.0,Verified,5 years,RENT,18.25,14400,debt_consolidation,36,D
457,Charged Off,43000.0,Source Verified,9 years,RENT,17.27,4200,debt_consolidation,60,D
459,Charged Off,86004.0,Not Verified,10+ years,MORTGAGE,10.65,3000,other,36,B
461,Charged Off,110000.0,Verified,1 year,RENT,16.29,15000,small_business,36,D
471,Charged Off,68000.0,Not Verified,8 years,RENT,17.27,10000,debt_consolidation,36,D
475,Charged Off,51000.0,Source Verified,1 year,RENT,7.9,16000,debt_consolidation,36,A
479,Charged Off,48000.0,Not Verified,10+ years,OWN,15.27,2200,debt_consolidation,36,C
483,Charged Off,105000.0,Verified,10+ years,RENT,19.42,25000,credit_card,60,E
484,Charged Off,51204.0,Not Verified,1 year,RENT,8.9,8000,debt_consolidation,60,A
491,Charged Off,85000.0,Verified,3 years,OWN,20.3,35000,debt_consolidation,60,E
500,Charged Off,75000.0,Verified,< 1 year,RENT,14.65,12000,credit_card,60,C
509,Charged Off,37000.0,Verified,5 years,RENT,12.42,21250,other,36,B
518,Charged Off,60000.0,Verified,10+ years,RENT,15.27,15000,debt_consolidation,36,C
521,Charged Off,30000.0,Not Verified,6 years,RENT,12.69,4000,home_improvement,36,B
527,Charged Off,45000.0,Source Verified,10+ years,RENT,19.91,4000,house,60,E
531,Charged Off,54400.0,Verified,6 years,RENT,14.65,12000,debt_consolidation,36,C
533,Charged Off,42500.0,Source Verified,1 year,RENT,20.3,8000,debt_consolidation,60,E
535,Charged Off,28000.0,Source Verified,10+ years,RENT,16.29,13000,debt_consolidation,36,D
540,Charged Off,68809.0,Verified,5 years,RENT,17.58,24000,debt_consolidation,60,D
541,Charged Off,75000.0,Not Verified,3 years,RENT,12.42,11200,car,36,B
552,Charged Off,28000.0,Source Verified,2 years,RENT,14.27,12000,credit_card,36,C
553,Charged Off,118000.0,Verified,4 years,MORTGAGE,7.9,28000,home_improvement,36,A
555,Charged Off,65000.0,Not Verified,10+ years,MORTGAGE,7.9,3000,other,36,A
561,Charged Off,84996.0,Verified,8 years,MORTGAGE,12.42,28000,debt_consolidation,60,B
565,Charged Off,49000.0,Verified,10+ years,MORTGAGE,18.25,16000,credit_card,60,D
571,Charged Off,80000.0,Not Verified,4 years,MORTGAGE,7.9,11000,credit_card,36,A
572,Charged Off,85000.0,Source Verified,6 years,MORTGAGE,16.29,5000,medical,36,D
574,Charged Off,36000.0,Verified,6 years,OWN,12.69,10000,debt_consolidation,36,B
579,Charged Off,65000.0,Not Verified,4 years,MORTGAGE,16.29,3000,other,36,D
580,Charged Off,29772.96,Source Verified,3 years,RENT,16.77,7700,other,36,D
585,Charged Off,85000.0,Verified,4 years,RENT,20.89,24500,credit_card,60,F
588,Charged Off,160000.0,Source Verified,2 years,RENT,19.42,22200,debt_consolidation,36,E
590,Charged Off,28000.0,Not Verified,10+ years,RENT,7.9,13000,credit_card,36,A
592,Charged Off,60000.0,Not Verified,10+ years,MORTGAGE,12.69,3600,medical,36,B
593,Charged Off,40000.0,Not Verified,5 years,RENT,23.13,12375,other,60,G
607,Charged Off,33000.0,Not Verified,1 year,RENT,14.65,7100,debt_consolidation,36,C
609,Charged Off,85000.0,Not Verified,6 years,RENT,22.74,22400,credit_card,60,G
611,Charged Off,41000.0,Verified,2 years,RENT,12.69,22250,debt_consolidation,36,B
614,Charged Off,57000.0,Verified,5 years,RENT,11.71,7650,debt_consolidation,36,B
616,Charged Off,50132.0,Verified,7 years,RENT,15.27,20675,other,60,C
623,Charged Off,47800.0,Verified,< 1 year,RENT,12.69,20500,debt_consolidation,60,B
628,Charged Off,65000.0,Verified,10+ years,RENT,12.42,29000,debt_consolidation,60,B
634,Charged Off,88000.0,Not Verified,9 years,MORTGAGE,15.96,12000,debt_consolidation,36,C
641,Charged Off,30000.0,Not Verified,10+ years,RENT,13.49,10000,debt_consolidation,36,C
648,Charged Off,58600.0,Source Verified,2 years,MORTGAGE,17.27,21600,home_improvement,36,D
680,Charged Off,27500.0,Not Verified,3 years,RENT,19.91,8250,wedding,60,E
684,Charged Off,60000.0,Source Verified,< 1 year,RENT,12.42,12000,car,36,B
685,Charged Off,33000.0,Not Verified,2 years,RENT,11.71,7200,credit_card,36,B
690,Charged Off,35000.0,Not Verified,5 years,OWN,11.71,10000,debt_consolidation,36,B
692,Charged Off,77400.0,Verified,10+ years,MORTGAGE,14.27,10000,credit_card,36,C
717,Charged Off,30000.0,Not Verified,7 years,RENT,14.27,6000,credit_card,36,C
720,Charged Off,41000.0,Source Verified,< 1 year,RENT,16.77,7000,wedding,36,D
722,Charged Off,30000.0,Not Verified,10+ years,RENT,12.69,3000,debt_consolidation,36,B
728,Charged Off,41600.0,Not Verified,2 years,MORTGAGE,11.71,13200,debt_consolidation,36,B
739,Charged Off,70000.0,Verified,7 years,RENT,18.25,20000,small_business,60,D
744,Charged Off,66000.0,Source Verified,< 1 year,OWN,13.49,18000,debt_consolidation,36,C
755,Charged Off,71316.0,Verified,10+ years,MORTGAGE,20.89,35000,debt_consolidation,60,F
761,Charged Off,50000.0,Not Verified,< 1 year,RENT,17.58,16000,debt_consolidation,60,D
769,Charged Off,83000.0,Source Verified,< 1 year,RENT,7.51,12000,debt_consolidation,36,A
772,Charged Off,42000.0,Not Verified,5 years,RENT,20.3,13000,debt_consolidation,36,E
773,Charged Off,30000.0,Not Verified,< 1 year,MORTGAGE,7.51,7125,debt_consolidation,36,A
786,Charged Off,55000.0,Verified,10+ years,RENT,7.51,9600,debt_consolidation,36,A
787,Charged Off,63000.0,Not Verified,10+ years,MORTGAGE,12.69,12000,debt_consolidation,60,B
790,Charged Off,38000.0,Verified,6 years,RENT,15.27,15000,credit_card,36,C
797,Charged Off,47532.0,Verified,2 years,MORTGAGE,15.27,22250,debt_consolidation,60,C
807,Charged Off,37000.0,Not Verified,1 year,RENT,11.71,6000,small_business,36,B
809,Charged Off,42000.0,Source Verified,10+ years,RENT,16.77,8200,credit_card,60,D
818,Charged Off,37000.0,Source Verified,8 years,RENT,15.96,15000,credit_card,60,C
822,Charged Off,60000.0,Source Verified,< 1 year,MORTGAGE,19.42,15700,debt_consolidation,60,E
826,Charged Off,235000.0,Verified,4 years,MORTGAGE,19.03,35000,credit_card,60,E
828,Charged Off,78000.0,Not Verified,10+ years,RENT,17.58,12000,debt_consolidation,60,D
833,Charged Off,55000.0,Not Verified,7 years,RENT,19.42,13000,credit_card,60,E
835,Charged Off,108000.0,Not Verified,2 years,OWN,15.27,8000,house,36,C
863,Charged Off,34000.0,Not Verified,8 years,RENT,12.69,1200,vacation,36,B
870,Charged Off,66000.0,Source Verified,< 1 year,MORTGAGE,7.9,5000,small_business,36,A
876,Charged Off,90000.0,Source Verified,5 years,RENT,20.89,35000,debt_consolidation,60,F
881,Charged Off,35000.0,Verified,7 years,RENT,17.58,13250,debt_consolidation,36,D
897,Charged Off,29406.0,Source Verified,5 years,RENT,11.71,10000,debt_consolidation,36,B
898,Charged Off,26004.0,Verified,8 years,RENT,9.91,2200,debt_consolidation,36,B
899,Charged Off,120000.0,Source Verified,1 year,RENT,12.69,24000,credit_card,36,B
902,Charged Off,26500.0,Not Verified,10+ years,RENT,14.27,10625,debt_consolidation,36,C
904,Charged Off,88800.0,Verified,< 1 year,MORTGAGE,20.89,7200,debt_consolidation,36,F
914,Charged Off,72000.0,Source Verified,3 years,MORTGAGE,22.35,10400,debt_consolidation,60,F
918,Charged Off,55000.0,Not Verified,9 years,RENT,13.49,12000,debt_consolidation,60,C
922,Charged Off,55000.0,Verified,9 years,MORTGAGE,17.27,17200,home_improvement,60,D
924,Charged Off,30000.0,Source Verified,< 1 year,RENT,11.71,10625,credit_card,36,B
933,Charged Off,61500.0,Verified,5 years,RENT,17.27,16400,credit_card,60,D
937,Charged Off,50000.0,Not Verified,10+ years,RENT,9.91,13000,debt_consolidation,36,B
939,Charged Off,90000.0,Verified,4 years,MORTGAGE,16.77,5000,debt_consolidation,60,D
941,Charged Off,110000.0,Verified,10+ years,MORTGAGE,20.3,30000,small_business,60,E
948,Charged Off,40000.0,Source Verified,6 years,RENT,16.77,12000,debt_consolidation,60,D
954,Charged Off,61400.0,Not Verified,5 years,MORTGAGE,14.27,5000,home_improvement,36,C
958,Charged Off,32000.0,Not Verified,10+ years,RENT,14.27,5000,debt_consolidation,36,C
961,Charged Off,35000.0,Verified,4 years,RENT,12.42,8000,credit_card,36,B
965,Charged Off,50000.0,Verified,7 years,RENT,12.69,16000,debt_consolidation,60,B
969,Charged Off,40000.0,Verified,5 years,OWN,18.64,10000,credit_card,60,E
991,Charged Off,52000.0,Source Verified,6 years,MORTGAGE,15.27,5350,home_improvement,36,C
997,Charged Off,23040.0,Source Verified,< 1 year,RENT,7.9,6000,credit_card,36,A
1008,Charged Off,38000.0,Source Verified,3 years,OWN,16.77,19000,debt_consolidation,60,D
1012,Charged Off,122400.0,Verified,1 year,MORTGAGE,21.67,24000,debt_consolidation,60,F
1021,Charged Off,80000.0,Verified,< 1 year,RENT,14.27,20300,debt_consolidation,60,C
1030,Charged Off,78000.0,Source Verified,< 1 year,MORTGAGE,7.51,2300,other,36,A
1032,Charged Off,75000.0,Source Verified,7 years,RENT,21.28,18800,debt_consolidation,60,F
1043,Charged Off,59000.0,Verified,10+ years,MORTGAGE,19.03,24575,credit_card,60,E
1059,Charged Off,21000.0,Verified,5 years,RENT,20.89,5000,other,36,F
1063,Charged Off,56000.0,Verified,10+ years,RENT,17.27,17475,other,60,D
1069,Charged Off,60000.0,Verified,8 years,RENT,14.27,34475,debt_consolidation,60,C
1072,Charged Off,74143.68,Source Verified,10+ years,MORTGAGE,17.27,10050,home_improvement,60,D
1075,Charged Off,42000.0,Source Verified,< 1 year,RENT,15.27,10000,credit_card,36,C
1078,Charged Off,90000.0,Source Verified,3 years,MORTGAGE,11.71,35000,small_business,60,B
1079,Charged Off,42000.0,Source Verified,10+ years,RENT,11.71,18200,debt_consolidation,36,B
1088,Charged Off,53000.0,Not Verified,9 years,RENT,13.49,17000,debt_consolidation,60,C
1095,Charged Off,45000.0,Source Verified,6 years,RENT,15.27,11100,debt_consolidation,36,C
1097,Charged Off,40000.0,Source Verified,2 years,RENT,19.42,12000,debt_consolidation,60,E
1099,Charged Off,42000.0,Verified,7 years,OWN,17.27,21000,debt_consolidation,60,D
1101,Charged Off,112000.0,Verified,1 year,RENT,7.51,18500,debt_consolidation,36,A
1107,Charged Off,52000.0,Not Verified,5 years,MORTGAGE,12.69,9500,debt_consolidation,36,B
1115,Charged Off,165000.0,Source Verified,5 years,RENT,18.25,12000,debt_consolidation,60,D
1121,Charged Off,47000.0,Source Verified,10+ years,RENT,18.64,4000,other,36,E
1122,Charged Off,62000.0,Not Verified,4 years,RENT,12.69,15000,debt_consolidation,36,B
1124,Charged Off,64000.0,Verified,10+ years,MORTGAGE,17.27,16500,credit_card,36,D
1129,Charged Off,55000.0,Not Verified,3 years,RENT,11.71,3000,credit_card,36,B
1130,Charged Off,175000.0,Verified,10+ years,MORTGAGE,10.65,3500,medical,36,B
1141,Charged Off,45256.0,Source Verified,10+ years,RENT,10.65,17500,debt_consolidation,60,B
1143,Charged Off,165000.0,Verified,7 years,MORTGAGE,19.91,35000,other,60,E
1157,Charged Off,70000.0,Source Verified,3 years,RENT,15.27,15000,debt_consolidation,36,C
1159,Charged Off,70000.0,Verified,3 years,MORTGAGE,19.42,35000,debt_consolidation,60,E
1161,Charged Off,35000.0,Source Verified,8 years,MORTGAGE,14.27,12200,debt_consolidation,60,C
1163,Charged Off,81000.0,Verified,10+ years,RENT,16.77,25000,credit_card,60,D
1170,Charged Off,60000.0,Not Verified,4 years,RENT,7.9,7175,small_business,36,A
1189,Charged Off,84000.0,Source Verified,5 years,MORTGAGE,20.89,17000,home_improvement,60,F
1191,Charged Off,70000.0,Source Verified,7 years,MORTGAGE,14.65,16000,debt_consolidation,36,C
1192,Charged Off,56496.0,Verified,1 year,RENT,15.96,10000,debt_consolidation,60,C
1193,Charged Off,42240.0,Not Verified,10+ years,OWN,6.62,8000,credit_card,36,A
1197,Charged Off,120000.0,Source Verified,10+ years,OWN,18.64,30000,credit_card,60,E
1208,Charged Off,90000.0,Not Verified,1 year,RENT,12.42,15000,debt_consolidation,36,B
1210,Charged Off,72000.0,Source Verified,10+ years,RENT,7.51,8400,debt_consolidation,36,A
1212,Charged Off,47840.0,Verified,< 1 year,MORTGAGE,20.3,22750,debt_consolidation,60,E
1215,Charged Off,17000.0,Source Verified,< 1 year,RENT,14.27,5000,major_purchase,60,C
1223,Charged Off,35000.0,Source Verified,10+ years,OWN,13.49,14000,debt_consolidation,60,C
1245,Charged Off,43080.0,Not Verified,8 years,RENT,10.65,2400,debt_consolidation,36,B
1248,Charged Off,32500.0,Not Verified,3 years,OWN,6.62,5000,other,36,A
1254,Charged Off,72000.0,Source Verified,10+ years,MORTGAGE,9.91,2400,wedding,36,B
1258,Charged Off,30000.0,Verified,10+ years,RENT,17.58,10000,credit_card,36,D
1259,Charged Off,26400.0,Source Verified,< 1 year,RENT,13.49,10000,debt_consolidation,36,C
1262,Charged Off,68000.0,Verified,8 years,RENT,17.27,22800,credit_card,60,D
1266,Charged Off,18000.0,Verified,1 year,RENT,11.71,3000,small_business,36,B
1288,Charged Off,35000.0,Not Verified,10+ years,RENT,6.62,4200,debt_consolidation,36,A
1290,Charged Off,50000.0,Source Verified,5 years,RENT,22.06,7000,credit_card,60,F
1292,Charged Off,32000.0,Verified,1 year,RENT,18.25,3600,debt_consolidation,60,D
1293,Charged Off,27840.0,Verified,10+ years,MORTGAGE,13.49,14000,small_business,60,C
1300,Charged Off,35000.0,Not Verified,2 years,OWN,10.65,14000,debt_consolidation,36,B
1301,Charged Off,50000.0,Source Verified,10+ years,MORTGAGE,17.27,20000,debt_consolidation,36,D
1302,Charged Off,50000.0,Source Verified,4 years,RENT,14.65,16000,credit_card,36,C
1308,Charged Off,100000.0,Verified,10+ years,RENT,18.25,12000,debt_consolidation,60,D
1313,Charged Off,75600.0,Source Verified,3 years,RENT,17.58,17000,credit_card,60,D
1315,Charged Off,99996.0,Not Verified,10+ years,MORTGAGE,11.71,4200,major_purchase,60,B
1318,Charged Off,49200.0,Verified,1 year,RENT,17.58,19000,debt_consolidation,60,D
1322,Charged Off,48000.0,Source Verified,6 years,RENT,18.64,4000,debt_consolidation,60,E
1327,Charged Off,60000.0,Not Verified,5 years,RENT,13.49,10000,credit_card,36,C
1345,Charged Off,30000.0,Not Verified,6 years,RENT,12.69,5000,debt_consolidation,36,B
1347,Charged Off,27000.0,Not Verified,3 years,RENT,7.51,2800,other,36,A
1349,Charged Off,54000.0,Not Verified,2 years,RENT,6.03,4000,debt_consolidation,36,A
1352,Charged Off,95000.0,Verified,9 years,RENT,19.91,12000,credit_card,60,E
1361,Charged Off,42000.0,Not Verified,6 years,MORTGAGE,12.69,4000,debt_consolidation,36,B
1368,Charged Off,32000.0,Verified,1 year,RENT,13.49,6000,debt_consolidation,36,C
1370,Charged Off,44420.0,Verified,< 1 year,RENT,15.96,2575,debt_consolidation,36,C
1375,Charged Off,39168.0,Not Verified,10+ years,MORTGAGE,15.96,6000,debt_consolidation,36,C
1377,Charged Off,52000.0,Not Verified,1 year,RENT,17.27,14000,car,60,D
1384,Charged Off,45000.0,Not Verified,4 years,RENT,14.27,20000,debt_consolidation,60,C
1390,Charged Off,77000.0,Not Verified,7 years,MORTGAGE,15.27,15000,debt_consolidation,60,C
1395,Charged Off,76000.0,Verified,10+ years,RENT,21.28,25000,credit_card,60,F
1396,Charged Off,50000.0,Not Verified,< 1 year,RENT,11.71,7200,debt_consolidation,36,B
1405,Charged Off,42000.0,Verified,2 years,MORTGAGE,14.27,5000,debt_consolidation,36,C
1407,Charged Off,36500.0,Not Verified,2 years,RENT,7.51,5500,debt_consolidation,36,A
1413,Charged Off,39996.0,Not Verified,3 years,MORTGAGE,11.71,6000,debt_consolidation,60,B
1416,Charged Off,100000.0,Not Verified,10+ years,RENT,14.27,15600,credit_card,60,C
1428,Charged Off,45000.0,Not Verified,2 years,RENT,12.69,6000,other,36,B
1430,Charged Off,525000.0,Verified,< 1 year,MORTGAGE,20.3,30000,other,60,E
1435,Charged Off,31000.0,Verified,1 year,RENT,13.49,15000,credit_card,60,C
1437,Charged Off,42000.0,Source Verified,3 years,RENT,17.27,9600,other,36,D
1451,Charged Off,60000.0,Not Verified,1 year,RENT,6.62,3600,debt_consolidation,36,A
1460,Charged Off,78586.0,Source Verified,10+ years,OWN,10.65,20500,small_business,60,B
1462,Charged Off,38423.87,Not Verified,10+ years,RENT,12.69,8475,debt_consolidation,36,B
1470,Charged Off,47000.0,Source Verified,7 years,RENT,7.51,4000,debt_consolidation,36,A
1474,Charged Off,49000.0,Verified,10+ years,RENT,12.69,26000,debt_consolidation,60,B
1499,Charged Off,35004.0,Not Verified,2 years,MORTGAGE,19.03,12000,debt_consolidation,60,E
1503,Charged Off,50000.0,Not Verified,4 years,MORTGAGE,8.9,2200,home_improvement,36,A
1511,Charged Off,150000.0,Verified,< 1 year,RENT,18.25,24000,debt_consolidation,60,D
1512,Charged Off,32400.0,Not Verified,5 years,RENT,6.62,10275,debt_consolidation,36,A
1525,Charged Off,73174.4,Verified,2 years,MORTGAGE,21.67,23600,wedding,60,F
1529,Charged Off,54600.0,Source Verified,10+ years,MORTGAGE,12.42,12000,credit_card,36,B
1530,Charged Off,75000.0,Source Verified,8 years,MORTGAGE,10.65,15000,credit_card,36,B
1533,Charged Off,60000.0,Source Verified,< 1 year,RENT,14.27,25000,debt_consolidation,60,C
1535,Charged Off,38400.0,Not Verified,6 years,OWN,17.27,7875,car,60,D
1539,Charged Off,45000.0,Source Verified,7 years,RENT,7.51,12300,debt_consolidation,36,A
1544,Charged Off,96000.0,Verified,10+ years,MORTGAGE,15.96,35000,debt_consolidation,60,C
1545,Charged Off,45996.0,Source Verified,4 years,MORTGAGE,14.27,7000,other,60,C
1554,Charged Off,28000.0,Not Verified,< 1 year,RENT,17.27,15850,credit_card,60,D
1556,Charged Off,65000.0,Verified,3 years,RENT,12.42,35000,small_business,60,B
1559,Charged Off,60000.0,Source Verified,10+ years,RENT,12.69,35000,small_business,60,B
1562,Charged Off,34000.0,Source Verified,7 years,MORTGAGE,19.03,12000,debt_consolidation,60,E
1568,Charged Off,58500.0,Verified,5 years,RENT,17.27,29700,small_business,60,D
1573,Charged Off,220000.0,Verified,10+ years,MORTGAGE,12.69,24000,credit_card,60,B
1575,Charged Off,60000.0,Verified,10+ years,MORTGAGE,13.49,19750,credit_card,60,C
1579,Charged Off,60000.0,Verified,4 years,MORTGAGE,19.03,35000,credit_card,60,E
1582,Charged Off,40000.0,Source Verified,10+ years,RENT,12.42,16000,debt_consolidation,60,B
1589,Charged Off,46000.0,Verified,2 years,MORTGAGE,18.64,25975,debt_consolidation,60,E
1593,Charged Off,96000.0,Not Verified,5 years,MORTGAGE,15.27,15200,other,36,C
1629,Charged Off,90000.0,Verified,6 years,MORTGAGE,14.65,24000,debt_consolidation,60,C
1633,Charged Off,36000.0,Not Verified,5 years,RENT,12.69,8000,debt_consolidation,36,B
1644,Charged Off,125000.0,Source Verified,5 years,RENT,16.29,12000,credit_card,36,D
1647,Charged Off,118000.0,Source Verified,6 years,RENT,12.69,13000,credit_card,36,B
1650,Charged Off,50004.0,Source Verified,10+ years,MORTGAGE,18.25,15000,debt_consolidation,60,D
1651,Charged Off,220000.0,Source Verified,3 years,MORTGAGE,23.13,35000,home_improvement,60,G
1653,Charged Off,30000.0,Source Verified,< 1 year,RENT,12.42,6000,debt_consolidation,36,B
1657,Charged Off,89000.0,Source Verified,10+ years,MORTGAGE,16.77,5000,home_improvement,36,D
1665,Charged Off,41500.0,Verified,8 years,RENT,17.58,19075,debt_consolidation,60,D
1666,Charged Off,61160.0,Source Verified,< 1 year,RENT,8.9,3000,moving,36,A
1679,Charged Off,45000.0,Source Verified,2 years,RENT,8.9,7000,other,36,A
1681,Charged Off,180000.0,Source Verified,7 years,RENT,22.06,25000,small_business,60,F
1682,Charged Off,68000.0,Verified,10+ years,MORTGAGE,14.27,12000,debt_consolidation,60,C
1686,Charged Off,38004.0,Not Verified,10+ years,RENT,15.27,10400,debt_consolidation,36,C
1694,Charged Off,40000.0,Not Verified,4 years,RENT,10.65,3000,debt_consolidation,36,B
