,fueltype,aspiration,doornumber,carbody,wheelbase,carlength,carwidth,carheight,enginetype,enginesize,horsepower,peakrpm,price
164,gas,std,two,hatchback,94.5,168.7,64.0,52.6,ohc,98,70,4800,8238.0
165,gas,std,two,sedan,94.5,168.7,64.0,52.6,dohc,98,112,6600,9298.0
166,gas,std,two,hatchback,94.5,168.7,64.0,52.6,dohc,98,112,6600,9538.0
167,gas,std,two,hardtop,98.4,176.2,65.6,52.0,ohc,146,116,4800,8449.0
168,gas,std,two,hardtop,98.4,176.2,65.6,52.0,ohc,146,116,4800,9639.0
169,gas,std,two,hatchback,98.4,176.2,65.6,52.0,ohc,146,116,4800,9989.0
170,gas,std,two,hardtop,98.4,176.2,65.6,52.0,ohc,146,116,4800,11199.0
171,gas,std,two,hatchback,98.4,176.2,65.6,52.0,ohc,146,116,4800,11549.0
172,gas,std,two,convertible,98.4,176.2,65.6,53.0,ohc,146,116,4800,17669.0
173,gas,std,four,sedan,102.4,175.6,66.5,54.9,ohc,122,92,4200,8948.0
174,diesel,turbo,four,sedan,102.4,175.6,66.5,54.9,ohc,110,73,4500,10698.0
175,gas,std,four,hatchback,102.4,175.6,66.5,53.9,ohc,122,92,4200,9988.0
176,gas,std,four,sedan,102.4,175.6,66.5,54.9,ohc,122,92,4200,10898.0
177,gas,std,four,hatchback,102.4,175.6,66.5,53.9,ohc,122,92,4200,11248.0
178,gas,std,two,hatchback,102.9,183.5,67.7,52.0,dohc,171,161,5200,16558.0
179,gas,std,two,hatchback,102.9,183.5,67.7,52.0,dohc,171,161,5200,15998.0
180,gas,std,four,sedan,104.5,187.8,66.5,54.1,dohc,171,156,5200,15690.0
181,gas,std,four,wagon,104.5,187.8,66.5,54.1,dohc,161,156,5200,15750.0
182,diesel,std,two,sedan,97.3,171.7,65.5,55.7,ohc,97,52,4800,7775.0
183,gas,std,two,sedan,97.3,171.7,65.5,55.7,ohc,109,85,5250,7975.0
184,diesel,std,four,sedan,97.3,171.7,65.5,55.7,ohc,97,52,4800,7995.0
185,gas,std,four,sedan,97.3,171.7,65.5,55.7,ohc,109,85,5250,8195.0
186,gas,std,four,sedan,97.3,171.7,65.5,55.7,ohc,109,85,5250,8495.0
187,diesel,turbo,four,sedan,97.3,171.7,65.5,55.7,ohc,97,68,4500,9495.0
188,gas,std,four,sedan,97.3,171.7,65.5,55.7,ohc,109,100,5500,9995.0
189,gas,std,two,convertible,94.5,159.3,64.2,55.6,ohc,109,90,5500,11595.0
190,gas,std,two,hatchback,94.5,165.7,64.0,51.4,ohc,109,90,5500,9980.0
191,gas,std,four,sedan,100.4,180.2,66.9,55.1,ohc,136,110,5500,13295.0
192,diesel,turbo,four,sedan,100.4,180.2,66.9,55.1,ohc,97,68,4500,13845.0
193,gas,std,four,wagon,100.4,183.1,66.9,55.1,ohc,109,88,5500,12290.0
194,gas,std,four,sedan,104.3,188.8,67.2,56.2,ohc,141,114,5400,12940.0
195,gas,std,four,wagon,104.3,188.8,67.2,57.5,ohc,141,114,5400,13415.0
196,gas,std,four,sedan,104.3,188.8,67.2,56.2,ohc,141,114,5400,15985.0
197,gas,std,four,wagon,104.3,188.8,67.2,57.5,ohc,141,114,5400,16515.0
198,gas,turbo,four,sedan,104.3,188.8,67.2,56.2,ohc,130,162,5100,18420.0
199,gas,turbo,four,wagon,104.3,188.8,67.2,57.5,ohc,130,162,5100,18950.0
200,gas,std,four,sedan,109.1,188.8,68.9,55.5,ohc,141,114,5400,16845.0
201,gas,turbo,four,sedan,109.1,188.8,68.8,55.5,ohc,141,160,5300,19045.0
202,gas,std,four,sedan,109.1,188.8,68.9,55.5,ohcv,173,134,5500,21485.0
203,diesel,turbo,four,sedan,109.1,188.8,68.9,55.5,ohc,145,106,4800,22470.0
204,gas,turbo,four,sedan,109.1,188.8,68.9,55.5,ohc,141,114,5400,22625.0
